Categoria,Indicatore,Territorio,Periodo,Valore,Unita,Fonte,Aggiornato
Appalti,Appalti lavori (importo),Cuneo,2025-11,304958410,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Cuneo,2025-12,49556843,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Novara,2024-01,2278300,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Novara,2024-02,16751177,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Novara,2024-03,123483319,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Novara,2024-04,8525231,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Novara,2024-05,7720228,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Novara,2024-06,63211067,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Novara,2024-07,21251991,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Novara,2024-08,73249543,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Novara,2024-09,35606617,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Novara,2024-10,13673608,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Novara,2024-11,11072486,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Novara,2024-12,48878693,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Novara,2025-01,7823658,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Novara,2025-02,87469746,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Novara,2025-03,7304164,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Novara,2025-04,54566975,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Novara,2025-05,24753983,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Novara,2025-06,117001416,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Novara,2025-07,48882841,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Novara,2025-08,9554107,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Novara,2025-09,39365478,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Novara,2025-10,32712515,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Novara,2025-11,127194226,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Novara,2025-12,31497259,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Piemonte,2024-01,281729365,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Piemonte,2024-02,1998903701,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Piemonte,2024-03,2294837244,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Piemonte,2024-04,4318894522,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Piemonte,2024-05,536998519,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Piemonte,2024-06,2889683113,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Piemonte,2024-07,842951625,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Piemonte,2024-08,560074951,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Piemonte,2024-09,6429154328,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Piemonte,2024-10,2824057117,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Piemonte,2024-11,327755064,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Piemonte,2024-12,736238107,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Piemonte,2025-01,181581996,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Piemonte,2025-02,252451487,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Piemonte,2025-03,878813119,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Piemonte,2025-04,723209331,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Piemonte,2025-05,965567786,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Piemonte,2025-06,957990207,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Piemonte,2025-07,1117013876,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Piemonte,2025-08,278096596,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Piemonte,2025-09,537948353,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Piemonte,2025-10,393937957,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Piemonte,2025-11,983260640,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Piemonte,2025-12,825783815,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Piemonte e Valle d'Aosta,2024-01,283615615,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Piemonte e Valle d'Aosta,2024-02,2002650139,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Piemonte e Valle d'Aosta,2024-03,2314898769,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Piemonte e Valle d'Aosta,2024-04,4356841828,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Piemonte e Valle d'Aosta,2024-05,557152977,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Piemonte e Valle d'Aosta,2024-06,2906485547,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Piemonte e Valle d'Aosta,2024-07,870295344,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Piemonte e Valle d'Aosta,2024-08,580806873,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Piemonte e Valle d'Aosta,2024-09,6461703100,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Piemonte e Valle d'Aosta,2024-10,2839399815,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Piemonte e Valle d'Aosta,2024-11,349710787,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Piemonte e Valle d'Aosta,2024-12,758016298,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Piemonte e Valle d'Aosta,2025-01,190275578,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Piemonte e Valle d'Aosta,2025-02,317466749,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Piemonte e Valle d'Aosta,2025-03,1030983053,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Piemonte e Valle d'Aosta,2025-04,739253448,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Piemonte e Valle d'Aosta,2025-05,992398587,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Piemonte e Valle d'Aosta,2025-06,974062717,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Piemonte e Valle d'Aosta,2025-07,1208459971,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Piemonte e Valle d'Aosta,2025-08,292803562,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Piemonte e Valle d'Aosta,2025-09,547672097,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Piemonte e Valle d'Aosta,2025-10,414329881,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Piemonte e Valle d'Aosta,2025-11,1002463702,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Piemonte e Valle d'Aosta,2025-12,877990624,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Torino,2024-01,236251736,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Torino,2024-02,1916042182,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Torino,2024-03,1780998304,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Torino,2024-04,3961124263,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Torino,2024-05,248117021,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Torino,2024-06,2751588923,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Torino,2024-07,504413771,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Torino,2024-08,207893733,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Torino,2024-09,6272200252,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Torino,2024-10,2672272396,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Torino,2024-11,257895015,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Torino,2024-12,243081846,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Torino,2025-01,61295838,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Torino,2025-02,115114219,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Torino,2025-03,101870357,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Torino,2025-04,579002997,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Torino,2025-05,670881937,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Torino,2025-06,588741661,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Torino,2025-07,812332064,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Torino,2025-08,156391239,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Torino,2025-09,386034837,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Torino,2025-10,263919164,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Torino,2025-11,398798641,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Torino,2025-12,649107995,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Verbania,2024-01,9891294,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Verbania,2024-02,4778264,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Verbania,2024-03,26093856,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Verbania,2024-04,13088112,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Verbania,2024-05,3949713,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
