PeriodoCod,Periodo,Ordine,Gruppo,Indicatore,Unita,Territorio,Valore
107,I sem 2007,4014,Intenzioni di investimento (% risposte),No,%,Vercelli,30.8
107,I sem 2007,4014,Intenzioni di investimento (% risposte),"Si, immobiliari",%,Alessandria,28.6
107,I sem 2007,4014,Intenzioni di investimento (% risposte),"Si, immobiliari",%,Aosta,9.1
107,I sem 2007,4014,Intenzioni di investimento (% risposte),"Si, immobiliari",%,Asti,26.7
107,I sem 2007,4014,Intenzioni di investimento (% risposte),"Si, immobiliari",%,Biella,36.4
107,I sem 2007,4014,Intenzioni di investimento (% risposte),"Si, immobiliari",%,Cuneo,29.6
107,I sem 2007,4014,Intenzioni di investimento (% risposte),"Si, immobiliari",%,Novara,33.3
107,I sem 2007,4014,Intenzioni di investimento (% risposte),"Si, immobiliari",%,Torino,30.9
107,I sem 2007,4014,Intenzioni di investimento (% risposte),"Si, immobiliari",%,Verbania,66.7
107,I sem 2007,4014,Intenzioni di investimento (% risposte),"Si, immobiliari",%,Vercelli,23.1
107,I sem 2007,4014,Intenzioni di investimento (% risposte),"Si, solo o anche non immobiliari",%,Alessandria,14.3
107,I sem 2007,4014,Intenzioni di investimento (% risposte),"Si, solo o anche non immobiliari",%,Aosta,18.2
107,I sem 2007,4014,Intenzioni di investimento (% risposte),"Si, solo o anche non immobiliari",%,Asti,20.0
107,I sem 2007,4014,Intenzioni di investimento (% risposte),"Si, solo o anche non immobiliari",%,Biella,0.0
107,I sem 2007,4014,Intenzioni di investimento (% risposte),"Si, solo o anche non immobiliari",%,Cuneo,16.3
107,I sem 2007,4014,Intenzioni di investimento (% risposte),"Si, solo o anche non immobiliari",%,Novara,20.0
107,I sem 2007,4014,Intenzioni di investimento (% risposte),"Si, solo o anche non immobiliari",%,Torino,17.6
107,I sem 2007,4014,Intenzioni di investimento (% risposte),"Si, solo o anche non immobiliari",%,Verbania,11.1
107,I sem 2007,4014,Intenzioni di investimento (% risposte),"Si, solo o anche non immobiliari",%,Vercelli,46.2
107,I sem 2007,4014,Portafoglio lavori (mesi assicurati),Lavori privati,mesi,Alessandria,0.0
107,I sem 2007,4014,Portafoglio lavori (mesi assicurati),Lavori privati,mesi,Aosta,4.3
107,I sem 2007,4014,Portafoglio lavori (mesi assicurati),Lavori privati,mesi,Asti,21.0
107,I sem 2007,4014,Portafoglio lavori (mesi assicurati),Lavori privati,mesi,Biella,20.8
107,I sem 2007,4014,Portafoglio lavori (mesi assicurati),Lavori privati,mesi,Cuneo,6.8
107,I sem 2007,4014,Portafoglio lavori (mesi assicurati),Lavori privati,mesi,Novara,15.4
107,I sem 2007,4014,Portafoglio lavori (mesi assicurati),Lavori privati,mesi,Torino,14.7
107,I sem 2007,4014,Portafoglio lavori (mesi assicurati),Lavori privati,mesi,Verbania,9.3
107,I sem 2007,4014,Portafoglio lavori (mesi assicurati),Lavori privati,mesi,Vercelli,6.1
107,I sem 2007,4014,Portafoglio lavori (mesi assicurati),Lavori pubblici,mesi,Alessandria,12.0
107,I sem 2007,4014,Portafoglio lavori (mesi assicurati),Lavori pubblici,mesi,Aosta,4.2
107,I sem 2007,4014,Portafoglio lavori (mesi assicurati),Lavori pubblici,mesi,Asti,3.6
107,I sem 2007,4014,Portafoglio lavori (mesi assicurati),Lavori pubblici,mesi,Biella,6.5
107,I sem 2007,4014,Portafoglio lavori (mesi assicurati),Lavori pubblici,mesi,Cuneo,3.5
107,I sem 2007,4014,Portafoglio lavori (mesi assicurati),Lavori pubblici,mesi,Novara,2.0
107,I sem 2007,4014,Portafoglio lavori (mesi assicurati),Lavori pubblici,mesi,Torino,4.0
107,I sem 2007,4014,Portafoglio lavori (mesi assicurati),Lavori pubblici,mesi,Verbania,2.7
107,I sem 2007,4014,Portafoglio lavori (mesi assicurati),Lavori pubblici,mesi,Vercelli,6.8
107,I sem 2007,4014,Portafoglio lavori (mesi assicurati),Totale,mesi,Alessandria,12.0
107,I sem 2007,4014,Portafoglio lavori (mesi assicurati),Totale,mesi,Aosta,8.5
